Security,RSVR US Equity,,,,,
Start Date,1/8/2021 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
9/29/2023,6.1,0.25,4.273504274,6.08,0.23,3.931623932
9/22/2023,5.85,0,0,5.85,0,0
9/15/2023,5.85,0.14,2.451838879,5.85,0.15,2.631578947
9/8/2023,5.71,0.27,4.963235294,5.7,0.26,4.779411765
9/1/2023,5.44,0.11,2.063789869,5.44,0.12,2.255639098
8/25/2023,5.33,0.02,0.376647834,5.32,0.01,0.188323917
8/18/2023,5.31,-0.05,-0.932835821,5.31,-0.04,-0.747663551
8/11/2023,5.36,-0.08,-1.470588235,5.35,-0.06,-1.109057301
8/4/2023,5.44,0,0,5.41,0,0
7/28/2023,5.44,-0.1,-1.805054152,5.41,-0.1,-1.814882033
7/21/2023,5.54,-0.38,-6.418918919,5.51,-0.39,-6.610169492
7/14/2023,5.92,-0.05,-0.837520938,5.9,-0.07,-1.172529313
7/7/2023,5.97,-0.05,-0.830564784,5.97,-0.02,-0.333889816
6/30/2023,6.02,-0.03,-0.495867769,5.99,-0.06,-0.991735537
6/23/2023,6.05,-0.19,-3.044871795,6.05,-0.2,-3.2
6/16/2023,6.24,-0.23,-3.554868624,6.25,-0.22,-3.400309119
6/9/2023,6.47,-0.07,-1.070336391,6.47,-0.07,-1.070336391
6/2/2023,6.54,-0.09,-1.357466063,6.54,-0.05,-0.758725341
5/26/2023,6.63,0.04,0.606980273,6.59,0,0
5/19/2023,6.59,0.39,6.290322581,6.59,0.42,6.80713128
5/12/2023,6.2,-0.2,-3.125,6.17,-0.23,-3.59375
5/5/2023,6.4,-0.24,-3.614457831,6.4,-0.22,-3.32326284
4/28/2023,6.64,0.59,9.752066116,6.62,0.57,9.421487603
4/21/2023,6.05,-0.19,-3.044871795,6.05,-0.15,-2.419354839
4/14/2023,6.24,-0.1,-1.577287066,6.2,-0.1,-1.587301587
4/7/2023,6.34,-0.18,-2.760736196,6.3,-0.16,-2.476780186
3/31/2023,6.52,0.44,7.236842105,6.46,0.38,6.25
3/24/2023,6.08,-0.07,-1.138211382,6.08,-0.02,-0.327868852
3/17/2023,6.15,0.01,0.16286645,6.1,-0.01,-0.163666121
3/10/2023,6.14,-0.37,-5.683563748,6.11,-0.36,-5.564142195
3/3/2023,6.51,-0.12,-1.809954751,6.47,-0.15,-2.265861027
2/24/2023,6.63,-0.36,-5.150214592,6.62,-0.35,-5.021520803
2/17/2023,6.99,-0.22,-3.051317614,6.97,-0.24,-3.328710125
2/10/2023,7.21,-0.05,-0.688705234,7.21,-0.05,-0.688705234
2/3/2023,7.26,0.21,2.978723404,7.26,0.26,3.714285714
1/27/2023,7.05,0.11,1.585014409,7,0.07,1.01010101
1/20/2023,6.94,0.3,4.518072289,6.93,0.33,5
1/13/2023,6.64,0.21,3.265940902,6.6,0.27,4.265402844
1/6/2023,6.43,0.46,7.70519263,6.33,0.36,6.030150754
12/30/2022,5.97,0.27,4.736842105,5.97,0.28,4.920913884
12/23/2022,5.7,-1.08,-15.92920354,5.69,-1,-14.94768311
12/16/2022,6.78,0.66,10.78431373,6.69,0.59,9.672131148
12/9/2022,6.12,-0.44,-6.707317073,6.1,-0.39,-6.009244992
12/2/2022,6.56,0.56,9.333333333,6.49,0.49,8.166666667
11/25/2022,6,-0.07,-1.153212521,6,-0.05,-0.826446281
11/18/2022,6.07,0.31,5.381944444,6.05,0.29,5.034722222
11/11/2022,5.76,-0.01,-0.173310225,5.76,-0.01,-0.173310225
11/4/2022,5.77,0.06,1.050788091,5.77,0.07,1.228070175
10/28/2022,5.71,0.74,14.88933602,5.7,0.75,15.15151515
10/21/2022,4.97,0.34,7.343412527,4.95,0.34,7.37527115
10/14/2022,4.63,-0.25,-5.12295082,4.61,-0.25,-5.144032922
10/7/2022,4.88,0,0,4.86,-0.02,-0.409836066
9/30/2022,4.88,-0.56,-10.29411765,4.88,-0.52,-9.62962963
9/23/2022,5.44,-0.64,-10.52631579,5.4,-0.65,-10.74380165
9/16/2022,6.08,-0.98,-13.88101983,6.05,-0.95,-13.57142857
9/9/2022,7.06,0.45,6.807866868,7,0.39,5.900151286
9/2/2022,6.61,0.06,0.916030534,6.61,0.07,1.070336391
8/26/2022,6.55,0.26,4.13354531,6.54,0.27,4.306220096
8/19/2022,6.29,-0.41,-6.119402985,6.27,-0.43,-6.417910448
8/12/2022,6.7,-0.35,-4.964539007,6.7,-0.33,-4.694167852
8/5/2022,7.05,0.55,8.461538462,7.03,0.56,8.655332303
7/29/2022,6.5,-0.01,-0.153609831,6.47,-0.05,-0.766871166
7/22/2022,6.51,0.34,5.510534846,6.52,0.38,6.188925081
7/15/2022,6.17,-0.72,-10.44992743,6.14,-0.75,-10.88534107
7/8/2022,6.89,0.61,9.713375796,6.89,0.61,9.713375796
7/1/2022,6.28,-0.12,-1.875,6.28,-0.12,-1.875
6/24/2022,6.4,-0.16,-2.43902439,6.4,-0.13,-1.990811639
6/17/2022,6.56,-0.13,-1.943198804,6.53,-0.16,-2.391629297
6/10/2022,6.69,-1.12,-14.34058899,6.69,-1.1,-14.12066752
6/3/2022,7.81,0.67,9.383753501,7.79,0.66,9.256661992
5/27/2022,7.14,-0.72,-9.160305344,7.13,-0.73,-9.287531807
5/20/2022,7.86,0.59,8.115543329,7.86,0.63,8.713692946
5/13/2022,7.27,-1.42,-16.3406214,7.23,-1.41,-16.31944444
5/6/2022,8.69,-0.62,-6.659505908,8.64,-0.64,-6.896551724
4/29/2022,9.31,0.36,4.022346369,9.28,0.38,4.269662921
4/22/2022,8.95,0.14,1.589103292,8.9,0.14,1.598173516
4/15/2022,8.81,-0.03,-0.339366516,8.76,-0.08,-0.904977376
4/8/2022,8.84,-1.07,-10.79717457,8.84,-1.07,-10.79717457
4/1/2022,9.91,-0.18,-1.7839445,9.91,-0.18,-1.7839445
3/25/2022,10.09,1.13,12.61160714,10.09,1.26,14.26953567
3/18/2022,8.96,0.72,8.737864078,8.83,0.66,8.078335373
3/11/2022,8.24,0.74,9.866666667,8.17,0.67,8.933333333
3/4/2022,7.5,0.27,3.734439834,7.5,0.28,3.878116343
2/25/2022,7.23,-0.39,-5.118110236,7.22,-0.39,-5.124835742
2/18/2022,7.62,0.6,8.547008547,7.61,0.61,8.714285714
2/11/2022,7.02,0.84,13.59223301,7,0.9,14.75409836
2/4/2022,6.18,0.06,0.980392157,6.1,-0.02,-0.326797386
1/28/2022,6.12,-0.76,-11.04651163,6.12,-0.73,-10.65693431
1/21/2022,6.88,-0.15,-2.13371266,6.85,-0.16,-2.282453638
1/14/2022,7.03,-0.48,-6.391478029,7.01,-0.49,-6.533333333
1/7/2022,7.51,-0.4,-5.056890013,7.5,-0.4,-5.063291139
12/31/2021,7.91,0.05,0.636132316,7.9,0.1,1.282051282
12/24/2021,7.86,0.09,1.158301158,7.8,0.07,0.905562743
12/17/2021,7.77,0.15,1.968503937,7.73,0.14,1.844532279
12/10/2021,7.62,0.01,0.131406045,7.59,-0.02,-0.262812089
12/3/2021,7.61,-0.18,-2.310654685,7.61,-0.18,-2.310654685
11/26/2021,7.79,-0.48,-5.804111245,7.79,-0.47,-5.690072639
11/19/2021,8.27,-1.18,-12.48677249,8.26,-1.14,-12.12765957
11/12/2021,9.45,-0.43,-4.352226721,9.4,-0.39,-3.983656793
11/5/2021,9.88,1.3,15.15151515,9.79,1.22,14.23570595
10/29/2021,8.58,-0.18,-2.054794521,8.57,-0.19,-2.168949772
10/22/2021,8.76,-0.23,-2.55839822,8.76,-0.17,-1.903695409
10/15/2021,8.99,0.24,2.742857143,8.93,0.23,2.643678161
10/8/2021,8.75,0.03,0.344036697,8.7,0.02,0.230414747
10/1/2021,8.72,-0.22,-2.460850112,8.68,-0.23,-2.581369248
9/24/2021,8.94,0.95,11.88986233,8.91,0.88,10.95890411
9/17/2021,7.99,-1.56,-16.33507853,8.03,-1.51,-15.82809224
