Date,close_week_average
10/24/2024,5824.116
10/23/2024,5824.116
10/22/2024,5824.116
10/21/2024,5824.116
10/18/2024,5844.744
10/17/2024,5844.744
10/16/2024,5844.744
10/15/2024,5844.744
10/14/2024,5844.744
10/11/2024,5766.838
10/10/2024,5766.838
10/9/2024,5766.838
10/8/2024,5766.838
10/7/2024,5766.838
10/4/2024,5726.356
10/3/2024,5726.356
10/2/2024,5726.356
10/1/2024,5726.356
9/30/2024,5726.356
9/27/2024,5731.46
9/26/2024,5731.46
9/25/2024,5731.46
9/24/2024,5731.46
9/23/2024,5731.46
9/20/2024,5660.424
9/19/2024,5660.424
9/18/2024,5660.424
9/17/2024,5660.424
9/16/2024,5660.424
9/13/2024,5548.496
9/12/2024,5548.496
9/11/2024,5548.496
9/10/2024,5548.496
9/9/2024,5548.496
9/6/2024,5490.2075
9/5/2024,5490.2075
9/4/2024,5490.2075
9/3/2024,5490.2075
8/30/2024,5615.036
8/29/2024,5615.036
8/28/2024,5615.036
8/27/2024,5615.036
8/26/2024,5615.036
8/23/2024,5606.294
8/22/2024,5606.294
8/21/2024,5606.294
8/20/2024,5606.294
8/19/2024,5606.294
8/16/2024,5466.3
8/15/2024,5466.3
8/14/2024,5466.3
8/13/2024,5466.3
8/12/2024,5466.3
8/9/2024,5257.866
8/8/2024,5257.866
8/7/2024,5257.866
8/6/2024,5257.866
8/5/2024,5257.866
8/2/2024,5443.104
8/1/2024,5443.104
7/31/2024,5443.104
7/30/2024,5443.104
7/29/2024,5443.104
7/26/2024,5481.12
7/25/2024,5481.12
7/24/2024,5481.12
7/23/2024,5481.12
7/22/2024,5481.12
7/19/2024,5587.256
7/18/2024,5587.256
7/17/2024,5587.256
7/16/2024,5587.256
7/15/2024,5587.256
7/12/2024,5596.726
7/11/2024,5596.726
7/10/2024,5596.726
7/9/2024,5596.726
7/8/2024,5596.726
7/5/2024,5522.0775
7/3/2024,5522.0775
7/2/2024,5522.0775
7/1/2024,5522.0775
6/28/2024,5467.684
6/27/2024,5467.684
