"Date","tech"
2023-08-30,8208.646
2023-08-29,8208.646
2023-08-28,8208.646
2023-08-25,7900.62
2023-08-24,7900.62
2023-08-23,7900.62
2023-08-22,7900.62
2023-08-21,7900.62
2023-08-18,7834.724
2023-08-17,7834.724
2023-08-16,7834.724
2023-08-15,7834.724
2023-08-14,7834.724
2023-08-11,8033.754
2023-08-10,8033.754
2023-08-09,8033.754
2023-08-08,8033.754
2023-08-07,8033.754
2023-08-04,8375.176
2023-08-03,8375.176
2023-08-02,8375.176
2023-08-01,8375.176
2023-07-31,8375.176
2023-07-28,8333.768
2023-07-27,8333.768
2023-07-26,8333.768
2023-07-25,8333.768
2023-07-24,8333.768
2023-07-21,8345.324
2023-07-20,8345.324
2023-07-19,8345.324
2023-07-18,8345.324
2023-07-17,8345.324
2023-07-14,8177.224
2023-07-13,8177.224
2023-07-12,8177.224
2023-07-11,8177.224
2023-07-10,8177.224
2023-07-07,7958.985
2023-07-06,7958.985
2023-07-05,7958.985
2023-07-03,7958.985
2023-06-30,7931.524
2023-06-29,7931.524
2023-06-28,7931.524
2023-06-27,7931.524
2023-06-26,7931.524
2023-06-23,7866.305
2023-06-22,7866.305
2023-06-21,7866.305
2023-06-20,7866.305
2023-06-16,8070.262
2023-06-15,8070.262
2023-06-14,8070.262
2023-06-13,8070.262
2023-06-12,8070.262
2023-06-09,7725.486
2023-06-08,7725.486
2023-06-07,7725.486
2023-06-06,7725.486
2023-06-05,7725.486
2023-06-02,7711.525
2023-06-01,7711.525
2023-05-31,7711.525
2023-05-30,7711.525
2023-05-26,7307.506
2023-05-25,7307.506
2023-05-24,7307.506
2023-05-23,7307.506
2023-05-22,7307.506
2023-05-19,7059.418
2023-05-18,7059.418
2023-05-17,7059.418
2023-05-16,7059.418
2023-05-15,7059.418
2023-05-12,6766.438
2023-05-11,6766.438
2023-05-10,6766.438
2023-05-09,6766.438
2023-05-08,6766.438
2023-05-05,6655.146
2023-05-04,6655.146
2023-05-03,6655.146
2023-05-02,6655.146
2023-05-01,6655.146
2023-04-28,6632.814
2023-04-27,6632.814
2023-04-26,6632.814
2023-04-25,6632.814
2023-04-24,6632.814
2023-04-21,6837.296
2023-04-20,6837.296
2023-04-19,6837.296
2023-04-18,6837.296
2023-04-17,6837.296
2023-04-14,6881.436
2023-04-13,6881.436
2023-04-12,6881.436
2023-04-11,6881.436
2023-04-10,6881.436
2023-04-06,6937.86
2023-04-05,6937.86
2023-04-04,6937.86
2023-04-03,6937.86
2023-03-31,6912.04
2023-03-30,6912.04
2023-03-29,6912.04
2023-03-28,6912.04
2023-03-27,6912.04
2023-03-24,6823.15
2023-03-23,6823.15
2023-03-22,6823.15
2023-03-21,6823.15
2023-03-20,6823.15
2023-03-17,6665.178
2023-03-16,6665.178
2023-03-15,6665.178
2023-03-14,6665.178
2023-03-13,6665.178
2023-03-10,6607.952
2023-03-09,6607.952
2023-03-08,6607.952
2023-03-07,6607.952
2023-03-06,6607.952
2023-03-03,6620.544
2023-03-02,6620.544
2023-03-01,6620.544
2023-02-28,6620.544
2023-02-27,6620.544
2023-02-24,6557.065
2023-02-23,6557.065
2023-02-22,6557.065
2023-02-21,6557.065
2023-02-17,6828.384
2023-02-16,6828.384
2023-02-15,6828.384
2023-02-14,6828.384
2023-02-13,6828.384
2023-02-10,6770.822
2023-02-09,6770.822
2023-02-08,6770.822
2023-02-07,6770.822
2023-02-06,6770.822
2023-02-03,6685.85
2023-02-02,6685.85
2023-02-01,6685.85
2023-01-31,6685.85
2023-01-30,6685.85
2023-01-27,6440.74
2023-01-26,6440.74
2023-01-25,6440.74
2023-01-24,6440.74
2023-01-23,6440.74
2023-01-20,6118.6275
2023-01-19,6118.6275
2023-01-18,6118.6275
2023-01-17,6118.6275
2023-01-13,6045.942
2023-01-12,6045.942
2023-01-11,6045.942
2023-01-10,6045.942
2023-01-09,6045.942
2023-01-06,5747.575
2023-01-05,5747.575
2023-01-04,5747.575
2023-01-03,5747.575
2022-12-30,5690.615
2022-12-29,5690.615
2022-12-28,5690.615
2022-12-27,5690.615
2022-12-23,5830.132
2022-12-22,5830.132
2022-12-21,5830.132
2022-12-20,5830.132
2022-12-19,5830.132
2022-12-16,6145.204
2022-12-15,6145.204
2022-12-14,6145.204
2022-12-13,6145.204
2022-12-12,6145.204
2022-12-09,6028.554
2022-12-08,6028.554
2022-12-07,6028.554
2022-12-06,6028.554
2022-12-05,6028.554
2022-12-02,6146.798
2022-12-01,6146.798
2022-11-30,6146.798
2022-11-29,6146.798
2022-11-28,6146.798
2022-11-25,6070.33
2022-11-23,6070.33
2022-11-22,6070.33
2022-11-21,6070.33
2022-11-18,6153.7
2022-11-17,6153.7
2022-11-16,6153.7
2022-11-15,6153.7
2022-11-14,6153.7
2022-11-11,5788.482
2022-11-10,5788.482
2022-11-09,5788.482
2022-11-08,5788.482
2022-11-07,5788.482
2022-11-04,5596.994
2022-11-03,5596.994
2022-11-02,5596.994
2022-11-01,5596.994
2022-10-31,5596.994
2022-10-28,5827.394
2022-10-27,5827.394
2022-10-26,5827.394
2022-10-25,5827.394
2022-10-24,5827.394
2022-10-21,5611.972
2022-10-20,5611.972
2022-10-19,5611.972
2022-10-18,5611.972
2022-10-17,5611.972
2022-10-14,5497.428
2022-10-13,5497.428
2022-10-12,5497.428
2022-10-11,5497.428
2022-10-10,5497.428
2022-10-07,6026.952
2022-10-06,6026.952
2022-10-05,6026.952
2022-10-04,6026.952
2022-10-03,6026.952
2022-09-30,5816.976
2022-09-29,5816.976
2022-09-28,5816.976
2022-09-27,5816.976
2022-09-26,5816.976
2022-09-23,6034.804
2022-09-22,6034.804
2022-09-21,6034.804
2022-09-20,6034.804
2022-09-19,6034.804
2022-09-16,6390.678
2022-09-15,6390.678
2022-09-14,6390.678
2022-09-13,6390.678
2022-09-12,6390.678
2022-09-09,6438.9475
2022-09-08,6438.9475
2022-09-07,6438.9475
2022-09-06,6438.9475
2022-09-02,6483.236
2022-09-01,6483.236
