Security,LYV US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
9/13/2024,98.85,6.07,6.542358267,98.81,6.03,6.499245527
9/6/2024,92.78,-4.89,-5.006655063,92.78,-4.89,-5.006655063
8/30/2024,97.67,0.89,0.91961149,97.67,0.89,0.91961149
8/23/2024,96.78,1.6,1.681025426,96.78,1.62,1.702395965
8/16/2024,95.18,3,3.254502061,95.16,2.97,3.22160755
8/9/2024,92.18,0.97,1.063479882,92.19,0.97,1.063363298
8/2/2024,91.21,-2.43,-2.595044853,91.22,-2.43,-2.594767752
7/26/2024,93.64,-1.46,-1.535226078,93.65,-1.42,-1.493636268
7/19/2024,95.1,-2.84,-2.899734531,95.07,-2.9,-2.960089823
7/12/2024,97.94,2.6,2.727082022,97.97,2.64,2.769327599
7/5/2024,95.34,1.6,1.706848731,95.33,1.6,1.707030833
6/28/2024,93.74,0.78,0.839070568,93.73,0.76,0.817468
6/21/2024,92.96,4.21,4.743661972,92.97,4.22,4.754929577
6/14/2024,88.75,-1.78,-1.96619905,88.75,-1.78,-1.96619905
6/7/2024,90.53,-3.21,-3.424365266,90.53,-3.22,-3.434666667
5/31/2024,93.74,-2.25,-2.343994166,93.75,-2.23,-2.323400708
5/24/2024,95.99,-0.6,-0.621182317,95.98,-0.63,-0.652106407
5/17/2024,96.59,-0.43,-0.443207586,96.61,-0.38,-0.391792968
5/10/2024,97.02,2.36,2.493133319,96.99,2.33,2.461440947
5/3/2024,94.66,4.83,5.376822888,94.66,4.88,5.435509022
4/26/2024,89.83,-0.13,-0.144508671,89.78,-0.18,-0.200088928
4/19/2024,89.96,-11.08,-10.96595408,89.96,-11.08,-10.96595408
4/12/2024,101.04,-2.48,-2.395672334,101.04,-2.45,-2.367378491
4/5/2024,103.52,-2.25,-2.127257256,103.49,-2.27,-2.146369138
3/29/2024,105.77,-0.22,-0.207566752,105.76,-0.22,-0.207586337
3/22/2024,105.99,2.22,2.139346632,105.98,2.16,2.080523984
3/15/2024,103.77,4.03,4.040505314,103.82,4.09,4.101072897
3/8/2024,99.74,2.59,2.665980443,99.73,2.56,2.634557991
3/1/2024,97.15,1.83,1.91984893,97.17,1.96,2.058607289
2/23/2024,95.32,2.07,2.219839142,95.21,1.96,2.101876676
2/16/2024,93.25,3.72,4.155031833,93.25,3.72,4.155031833
2/9/2024,89.53,1.33,1.507936508,89.53,1.38,1.56551333
2/2/2024,88.2,-1.09,-1.220741404,88.15,-1.15,-1.287793953
1/26/2024,89.29,-1.89,-2.072822987,89.3,-1.88,-2.06185567
1/19/2024,91.18,0.52,0.573571586,91.18,0.53,0.584666299
1/12/2024,90.66,1.45,1.625378321,90.65,1.44,1.614168815
1/5/2024,89.21,-4.39,-4.69017094,89.21,-4.4,-4.700352526
12/29/2023,93.6,2.17,2.373400416,93.61,2.18,2.384337745
12/22/2023,91.43,-1.57,-1.688172043,91.43,-1.58,-1.698742071
12/15/2023,93,7.81,9.167742693,93.01,7.83,9.192298662
12/8/2023,85.19,0.94,1.115727003,85.18,0.95,1.127864181
12/1/2023,84.25,-3.38,-3.857126555,84.23,-3.37,-3.847031963
11/24/2023,87.63,-1.97,-2.198660714,87.6,-1.98,-2.210314802
11/17/2023,89.6,2.08,2.376599634,89.58,2.06,2.353747715
11/10/2023,87.52,2.16,2.530459231,87.52,2.17,2.542472173
11/3/2023,85.36,8.36,10.85714286,85.35,8.35,10.84415584
10/27/2023,77,-2.95,-3.689806129,77,-2.92,-3.653653654
10/20/2023,79.95,-4.6,-5.440567711,79.92,-4.63,-5.476049675
10/13/2023,84.55,-2.96,-3.382470575,84.55,-2.97,-3.393510055
10/6/2023,87.51,4.47,5.382947977,87.52,4.48,5.394990366
9/29/2023,83.04,3.29,4.12539185,83.04,3.32,4.164576016
9/22/2023,79.75,-4.07,-4.855643045,79.72,-4.1,-4.891434025
9/15/2023,83.82,2.88,3.558191253,83.82,2.88,3.558191253
9/8/2023,80.94,-3.11,-3.700178465,80.94,-3.09,-3.677258122
9/1/2023,84.05,-0.74,-0.872744427,84.03,-0.78,-0.919702865
8/25/2023,84.79,0.4,0.473989809,84.81,0.42,0.4976893
8/18/2023,84.39,-2.22,-2.563214409,84.39,-2.23,-2.574463172
8/11/2023,86.61,-1.12,-1.276644249,86.62,-1.12,-1.276498746
8/4/2023,87.73,-1.6,-1.791111609,87.74,-1.58,-1.768920734
7/28/2023,89.33,-7.51,-7.755059893,89.32,-7.5,-7.746333402
7/21/2023,96.84,2.38,2.51958501,96.82,2.36,2.498412026
7/14/2023,94.46,2.7,2.942458588,94.46,2.69,2.931241146
7/7/2023,91.76,0.65,0.713423334,91.77,0.67,0.735455543
6/30/2023,91.11,3.35,3.817228806,91.1,3.37,3.841331358
6/23/2023,87.76,-2.42,-2.683521845,87.73,-2.47,-2.738359202
6/16/2023,90.18,6.03,7.165775401,90.2,6.04,7.176806084
6/9/2023,84.15,1.32,1.593625498,84.16,1.37,1.654789226
