Security,UMG NA Equity,,,,,
Start Date,9/21/2021 0:00,,,,,
End Date,3/26/2025 0:00,,,,,
Period,D,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
7/13/2023,23.92481,0.65893,2.832173122,23.9136,0.64772,2.783990977
7/12/2023,23.26588,0.42365,1.854678812,23.26588,0.42365,1.854678812
7/11/2023,22.84223,0.05104,0.223946183,22.84223,0.06203,0.272297873
7/10/2023,22.79119,0.07915,0.348493574,22.7802,0.06816,0.300105142
7/7/2023,22.71204,0.30279,1.351183105,22.71204,0.31366,1.400369134
7/6/2023,22.40925,-0.01872,-0.083467206,22.39838,-0.01872,-0.083507679
7/5/2023,22.42797,-0.20095,-0.888022937,22.4171,-0.20092,-0.888318252
7/4/2023,22.62892,0.15288,0.680190994,22.61802,0.15289,0.680565837
7/3/2023,22.47604,0.25791,1.160808763,22.46513,0.25792,1.1614246
6/30/2023,22.21813,-0.06742,-0.302527871,22.20721,-0.06747,-0.302899974
6/29/2023,22.28555,0.41991,1.920410288,22.27468,0.41995,1.921551994
6/28/2023,21.86564,0.5723,2.687694838,21.85473,0.56687,2.662879218
6/27/2023,21.29334,0.22806,1.082634553,21.28786,0.22804,1.082820271
6/26/2023,21.06528,0.07163,0.34119841,21.05982,0.07161,0.341191555
6/23/2023,20.99365,-0.20428,-0.963679001,20.98821,-0.19876,-0.938123762
6/22/2023,21.19793,0.23235,1.108245038,21.18697,0.22139,1.055968879
6/21/2023,20.96558,-0.47148,-2.199368757,20.96558,-0.47148,-2.199368757
6/20/2023,21.43706,-0.19845,-0.917242071,21.43706,-0.19299,-0.892230947
6/19/2023,21.63551,-0.40743,-1.848346908,21.63005,-0.40196,-1.824436354
6/16/2023,22.04294,0.01267,0.057511778,22.03201,0.01268,0.057585767
6/15/2023,22.03027,0.23024,1.056145336,22.01933,0.2193,1.005961918
6/14/2023,21.80003,0.49849,2.340159444,21.80003,0.49849,2.340159444
6/13/2023,21.30154,0.52372,2.520572418,21.30154,0.52372,2.520572418
6/12/2023,20.77782,-0.0948,-0.454183519,20.77782,-0.07867,-0.377196738
6/9/2023,20.87262,0.21935,1.062059422,20.85649,0.20322,0.983960409
6/8/2023,20.65327,0.19221,0.939394147,20.65327,0.19756,0.965793903
6/7/2023,20.46106,0.09508,0.466856984,20.45571,0.09507,0.466930313
6/6/2023,20.36598,0.37203,1.860712866,20.36064,0.36669,1.834004786
6/5/2023,19.99395,-0.38718,-1.899698397,19.99395,-0.38182,-1.873892373
6/2/2023,20.38113,0.22227,1.102592111,20.37577,0.22229,1.102985688
6/1/2023,20.15886,0.47856,2.431670249,20.15348,0.47318,2.404333267
5/31/2023,19.6803,-0.37869,-1.887881693,19.6803,-0.37333,-1.861657964
5/30/2023,20.05899,-0.01717,-0.085524323,20.05363,-0.02253,-0.112222656
5/29/2023,20.07616,-0.0292,-0.145234903,20.07616,-0.02384,-0.118606965
5/26/2023,20.10536,-0.00294,-0.014620828,20.1,-0.0083,-0.041276488
5/25/2023,20.1083,-0.48406,-2.35067763,20.1083,-0.47868,-2.325158911
5/24/2023,20.59236,-0.12335,-0.595441817,20.58698,-0.12873,-0.621412445
5/23/2023,20.71571,0.0578,0.279795972,20.71571,0.0578,0.279795972
5/22/2023,20.65791,0.07096,0.344684375,20.65791,0.07096,0.344684375
5/19/2023,20.58695,0.06729,0.32792941,20.58695,0.0942,0.459674763
5/18/2023,20.51966,-0.06388,-0.310345062,20.49275,-0.0691,-0.336059255
5/17/2023,20.58354,0.45242,2.247366267,20.56185,0.43073,2.139622634
5/16/2023,20.13112,0.00497,0.024694241,20.13112,0.00497,0.024694241
5/15/2023,20.12615,0.00654,0.0325056,20.12615,0.00654,0.0325056
5/12/2023,20.11961,-0.403,-1.963687855,20.11961,-0.39754,-1.937598546
5/11/2023,20.52261,0.00323,0.015741216,20.51715,-0.00223,-0.010867775
5/10/2023,20.51938,-0.12532,-0.607032313,20.51938,-0.12532,-0.607032313
5/9/2023,20.6447,-0.53817,-2.540590581,20.6447,-0.53817,-2.540590581
5/8/2023,21.18287,0.00143,0.006751193,21.18287,0.00143,0.006751193
5/5/2023,21.18144,0.31663,1.517531192,21.18144,0.31663,1.517531192
5/4/2023,20.86481,-0.32886,-1.551689726,20.86481,-0.32886,-1.551689726
