Security,WMG US Equity,,,,,
Start Date,7/3/2020 0:00,,,,,
End Date,2/28/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
6/14/2024,31.47,1.96,6.641816333,31.45,1.94,6.574042697
6/7/2024,29.51,-0.27,-0.906648758,29.51,-0.27,-0.906648758
5/31/2024,29.78,-0.68,-2.232435982,29.78,-0.66,-2.168199737
5/24/2024,30.46,-1.58,-4.93133583,30.44,-1.6,-4.993757803
5/17/2024,32.04,0.39,1.232227488,32.04,0.4,1.264222503
5/10/2024,31.65,-2.49,-7.293497364,31.64,-2.48,-7.268464244
5/3/2024,34.14,1.74,5.37037037,34.12,1.72,5.308641975
4/26/2024,32.4,-0.57,-1.728844404,32.4,-0.56,-1.699029126
4/19/2024,32.97,-0.47,-1.405502392,32.96,-0.48,-1.435406699
4/12/2024,33.44,0.11,0.330033003,33.44,0.11,0.330033003
4/5/2024,33.33,0.31,0.938824955,33.33,0.31,0.938824955
3/29/2024,33.02,0.44,1.350521793,33.02,0.47,1.443932412
3/22/2024,32.58,-0.36,-1.092896175,32.55,-0.38,-1.153962952
3/15/2024,32.94,-0.99,-2.917771883,32.93,-0.99,-2.918632075
3/8/2024,33.93,-1.55,-4.368658399,33.92,-1.58,-4.450704225
3/1/2024,35.48,1.1,3.199534613,35.5,1.14,3.317811409
2/23/2024,34.38,-1.16,-3.263927968,34.36,-1.17,-3.292991838
2/16/2024,35.54,-0.17,-0.476057127,35.53,-0.2,-0.559753708
2/9/2024,35.71,-0.95,-2.591380251,35.73,-0.92,-2.510231924
2/2/2024,36.66,-0.57,-1.531023368,36.65,-0.56,-1.504971782
1/26/2024,37.23,0.83,2.28021978,37.21,0.82,2.253366309
1/19/2024,36.4,0.85,2.390998594,36.39,0.85,2.391671356
1/12/2024,35.55,1.45,4.252199413,35.54,1.44,4.2228739
1/5/2024,34.1,-1.69,-4.721989383,34.1,-1.69,-4.721989383
12/29/2023,35.79,0.5,1.416831964,35.79,0.5,1.416831964
12/22/2023,35.29,1.7,5.061030068,35.29,1.7,5.061030068
12/15/2023,33.59,-0.34,-1.002063071,33.59,-0.34,-1.002063071
12/8/2023,33.93,-0.66,-1.908065915,33.93,-0.65,-1.879699248
12/1/2023,34.59,1.27,3.81152461,34.58,1.26,3.781512605
11/24/2023,33.32,1.51,4.746934926,33.32,1.52,4.779874214
11/17/2023,31.81,-0.84,-2.572741194,31.8,-0.83,-2.543671468
11/10/2023,32.65,-0.25,-0.759878419,32.63,-0.26,-0.790513834
11/3/2023,32.9,2.07,6.714239377,32.89,2.07,6.71641791
10/27/2023,30.83,-0.75,-2.374920836,30.82,-0.75,-2.375673107
10/20/2023,31.58,-0.8,-2.470660902,31.57,-0.8,-2.471424158
10/13/2023,32.38,-0.52,-1.580547112,32.37,-0.53,-1.610942249
10/6/2023,32.9,1.5,4.777070064,32.9,1.5,4.777070064
9/29/2023,31.4,0.71,2.313457152,31.4,0.74,2.413568167
9/22/2023,30.69,-1.58,-4.89618841,30.66,-1.59,-4.930232558
9/15/2023,32.27,-0.57,-1.735688185,32.25,-0.57,-1.736745887
9/8/2023,32.84,-0.81,-2.407132244,32.82,-0.81,-2.408563782
9/1/2023,33.65,1.17,3.602216749,33.63,1.15,3.540640394
8/25/2023,32.48,-0.01,-0.030778701,32.48,0.01,0.030797659
8/18/2023,32.49,-0.41,-1.246200608,32.47,-0.42,-1.276983886
8/11/2023,32.9,1.73,5.550208534,32.89,1.72,5.518126404
8/4/2023,31.17,-0.75,-2.34962406,31.17,-0.75,-2.34962406
7/28/2023,31.92,0.89,2.868192072,31.92,0.92,2.967741935
7/21/2023,31.03,2.16,7.481815033,31,2.15,7.452339688
7/14/2023,28.87,0.86,3.070332024,28.85,0.86,3.072525902
7/7/2023,28.01,1.92,7.359141433,27.99,1.9,7.28248371
6/30/2023,26.09,0.02,0.076716532,26.09,0.05,0.192012289
6/23/2023,26.07,-1.09,-4.013254786,26.04,-1.14,-4.194260486
6/16/2023,27.16,2.32,9.339774557,27.18,2.34,9.420289855
6/9/2023,24.84,0.5,2.054231717,24.84,0.49,2.012320329
6/2/2023,24.34,-0.62,-2.483974359,24.35,-0.61,-2.443910256
5/26/2023,24.96,-0.66,-2.576112412,24.96,-0.64,-2.5
5/19/2023,25.62,0.33,1.304863582,25.6,0.32,1.265822785
5/12/2023,25.29,-2.27,-8.236574746,25.28,-2.29,-8.306129851
5/5/2023,27.56,-2.91,-9.55037742,27.57,-2.85,-9.368836292
4/28/2023,30.47,-0.66,-2.120141343,30.42,-0.7,-2.249357326
4/21/2023,31.13,-0.23,-0.733418367,31.12,-0.23,-0.733652313
4/14/2023,31.36,-0.18,-0.570703868,31.35,-0.21,-0.66539924
4/7/2023,31.54,-1.83,-5.483967636,31.56,-1.8,-5.395683453
3/31/2023,33.37,1.87,5.936507937,33.36,1.86,5.904761905
3/24/2023,31.5,1.29,4.270109235,31.5,1.29,4.270109235
3/17/2023,30.21,0.46,1.546218487,30.21,0.47,1.580363147
3/10/2023,29.75,-2.06,-6.475950959,29.74,-2.06,-6.477987421
3/3/2023,31.81,-0.39,-1.211180124,31.8,-0.4,-1.242236025
2/24/2023,32.2,-0.99,-2.982826152,32.2,-0.98,-2.953586498
2/17/2023,33.19,-1.14,-3.320710749,33.18,-1.14,-3.321678322
2/10/2023,34.33,-2.71,-7.316414687,34.32,-2.71,-7.318390494
2/3/2023,37.04,1.27,3.55046128,37.03,1.27,3.551454139
1/27/2023,35.77,0.2,0.562271577,35.76,0.2,0.562429696
1/20/2023,35.57,2.99,9.177409454,35.56,2.98,9.146715777
1/13/2023,32.58,-5.33,-14.05961488,32.58,-5.32,-14.03693931
1/6/2023,37.91,2.89,8.252427184,37.9,2.9,8.285714286
12/30/2022,35.02,-0.6,-1.68444694,35,-0.6,-1.685393258
12/23/2022,35.62,1.98,5.885850178,35.6,1.96,5.826397146
12/16/2022,33.64,0.33,0.990693485,33.64,0.38,1.14251353
12/9/2022,33.31,-1.03,-2.999417589,33.26,-1.07,-3.116807457
12/2/2022,34.34,1.74,5.337423313,34.33,1.76,5.403745778
11/25/2022,32.6,5.22,19.06501096,32.57,5.19,18.95544193
11/18/2022,27.38,-1.09,-3.8285915,27.38,-1.09,-3.8285915
11/11/2022,28.47,2.94,11.51586369,28.47,2.94,11.51586369
11/4/2022,25.53,-0.67,-2.557251908,25.53,-0.66,-2.520045819
10/28/2022,26.2,2.35,9.853249476,26.19,2.36,9.903483005
10/21/2022,23.85,0.63,2.713178295,23.83,0.64,2.759810263
10/14/2022,23.22,0.44,1.931518876,23.19,0.42,1.844532279
10/7/2022,22.78,-0.43,-1.85264972,22.77,-0.44,-1.895734597
9/30/2022,23.21,-1.83,-7.308306709,23.21,-1.83,-7.308306709
9/23/2022,25.04,-1.81,-6.741154562,25.04,-1.81,-6.741154562
9/16/2022,26.85,-1.29,-4.584221748,26.85,-1.29,-4.584221748
9/9/2022,28.14,1.35,5.039193729,28.14,1.36,5.078416729
9/2/2022,26.79,-0.61,-2.226277372,26.78,-0.6,-2.19138057
8/26/2022,27.4,-0.93,-3.282739146,27.38,-0.94,-3.31920904
8/19/2022,28.33,-1.97,-6.501650165,28.32,-1.97,-6.503796633
8/12/2022,30.3,-1.2,-3.80952381,30.29,-1.21,-3.841269841
8/5/2022,31.5,1.5,5,31.5,1.5,5
7/29/2022,30,2.51,9.130592943,30,2.51,9.130592943
7/22/2022,27.49,1.75,6.798756799,27.49,1.75,6.798756799
7/15/2022,25.74,0.46,1.819620253,25.74,0.46,1.819620253
7/8/2022,25.28,0.71,2.88970289,25.28,0.71,2.88970289
7/1/2022,24.57,-1.62,-6.18556701,24.57,-1.63,-6.221374046
6/24/2022,26.19,1.1,4.384216819,26.2,1.13,4.507379338
6/17/2022,25.09,-2.32,-8.46406421,25.07,-2.33,-8.503649635
6/10/2022,27.41,-2.01,-6.832087016,27.4,-2,-6.802721088
6/3/2022,29.42,-0.3,-1.009421265,29.4,-0.3,-1.01010101
5/27/2022,29.72,-0.04,-0.134408602,29.7,-0.04,-0.134498991
5/20/2022,29.76,0.68,2.338376891,29.74,0.7,2.41046832
5/13/2022,29.08,-0.06,-0.205902539,29.04,-0.07,-0.240467193
5/6/2022,29.14,-0.63,-2.116224387,29.11,-0.66,-2.216996977
4/29/2022,29.77,-1.57,-5.009572431,29.77,-1.57,-5.009572431
4/22/2022,31.34,-4.31,-12.08976157,31.34,-4.29,-12.04041538
4/15/2022,35.65,-1.65,-4.423592493,35.63,-1.67,-4.477211796
4/8/2022,37.3,0.32,0.865332612,37.3,0.32,0.865332612
4/1/2022,36.98,-0.93,-2.453178581,36.98,-0.89,-2.350145234
3/25/2022,37.91,0.7,1.881214727,37.87,0.72,1.938088829
3/18/2022,37.21,5.42,17.0493866,37.15,5.37,16.89741976
3/11/2022,31.79,-1.23,-3.725015142,31.78,-1.22,-3.696969697
3/4/2022,33.02,-3.49,-9.559024925,33,-3.48,-9.539473684
2/25/2022,36.51,-0.12,-0.327600328,36.48,-0.11,-0.300628587
2/18/2022,36.63,-1.68,-4.385277995,36.59,-1.68,-4.38986151
2/11/2022,38.31,-3.67,-8.742258218,38.27,-3.67,-8.75059609
2/4/2022,41.98,0.72,1.745031508,41.94,0.7,1.697381183
1/28/2022,41.26,2.11,5.389527458,41.24,2.14,5.47314578
1/21/2022,39.15,-1.12,-2.78122672,39.1,-1.14,-2.833001988
1/14/2022,40.27,0.35,0.876753507,40.24,0.31,0.776358628
1/7/2022,39.92,-3.26,-7.54979157,39.93,-3.21,-7.440890125
12/31/2021,43.18,-0.34,-0.78125,43.14,-0.37,-0.850379223
12/24/2021,43.52,3.19,7.909744607,43.51,3.2,7.938476805
12/17/2021,40.33,-0.48,-1.176182308,40.31,-0.46,-1.128280598
12/10/2021,40.81,-1.06,-2.53164557,40.77,-1.09,-2.603917821
12/3/2021,41.87,-1.11,-2.582596557,41.86,-1.03,-2.401492189
11/26/2021,42.98,-0.33,-0.761948742,42.89,-0.37,-0.855293574
11/19/2021,43.31,-5.04,-10.42399173,43.26,-5.03,-10.41623525
11/12/2021,48.35,0.16,0.332019091,48.29,0.16,0.332432994
11/5/2021,48.19,-1.3,-2.626793292,48.13,-1.32,-2.669362993
10/29/2021,49.49,1.76,3.687408339,49.45,1.79,3.755770038
10/22/2021,47.73,0.6,1.273074475,47.66,0.53,1.124549119
10/15/2021,47.13,1.95,4.316069057,47.13,1.96,4.339163161
10/8/2021,45.18,0.51,1.141705843,45.17,0.49,1.096687556
10/1/2021,44.67,0.46,1.040488577,44.68,0.48,1.085972851
9/24/2021,44.21,2.8,6.761651775,44.2,2.86,6.918238994
9/17/2021,41.41,1.41,3.525,41.34,1.34,3.35
9/10/2021,40,1.87,4.904274849,40,1.87,4.904274849
9/3/2021,38.13,0.14,0.368518031,38.13,0.18,0.4743083
8/27/2021,37.99,1.55,4.253567508,37.95,1.56,4.286892003
8/20/2021,36.44,1.18,3.346568349,36.39,1.14,3.234042553
8/13/2021,35.26,-0.24,-0.676056338,35.25,-0.24,-0.67624683
8/6/2021,35.5,-2.29,-6.059804181,35.49,-2.29,-6.061408152
7/30/2021,37.79,0.08,0.21214532,37.78,0.07,0.185627155
7/23/2021,37.71,2.15,6.046119235,37.71,2.22,6.255283178
7/16/2021,35.56,-1.86,-4.970603955,35.49,-1.91,-5.106951872
7/9/2021,37.42,1.09,3.000275255,37.4,1.14,3.143960287
7/2/2021,36.33,-0.23,-0.629102845,36.26,-0.3,-0.820568928
6/25/2021,36.56,1.84,5.299539171,36.56,1.88,5.420991926
6/18/2021,34.72,-0.26,-0.743281875,34.68,-0.22,-0.630372493
6/11/2021,34.98,-0.32,-0.906515581,34.9,-0.39,-1.105128932
6/4/2021,35.3,-0.59,-1.643911953,35.29,-0.54,-1.507116941
5/28/2021,35.89,1.33,3.84837963,35.83,1.34,3.885184111
5/21/2021,34.56,-0.15,-0.432152118,34.49,-0.13,-0.375505488
5/14/2021,34.71,-1.92,-5.241605242,34.62,-2.01,-5.487305487
5/7/2021,36.63,-1.33,-3.503688093,36.63,-1.31,-3.452820242
4/30/2021,37.96,0.23,0.609594487,37.94,0.29,0.770252324
4/23/2021,37.73,0.78,2.110960758,37.65,0.75,2.032520325
4/16/2021,36.95,-0.13,-0.350593312,36.9,-0.19,-0.512267458
4/9/2021,37.08,3.06,8.994708995,37.09,3.09,9.088235294
4/2/2021,34.02,1.48,4.54824831,34,1.52,4.679802956
3/26/2021,32.54,-0.71,-2.135338346,32.48,-0.77,-2.315789474
3/19/2021,33.25,-0.5,-1.481481481,33.25,-0.44,-1.306025527
3/12/2021,33.75,-1.3,-3.708987161,33.69,-1.35,-3.852739726
3/5/2021,35.05,-0.42,-1.184099239,35.04,-0.42,-1.184433164
2/26/2021,35.47,-0.91,-2.501374382,35.46,-0.88,-2.421574023
2/19/2021,36.38,-0.98,-2.623126338,36.34,-1.02,-2.730192719
2/12/2021,37.36,-0.56,-1.476793249,37.36,-0.55,-1.450804537
2/5/2021,37.92,2.83,8.064975777,37.91,2.89,8.252427184
1/29/2021,35.09,-3.65,-9.421786267,35.02,-3.67,-9.485655208
1/22/2021,38.74,3.77,10.78066914,38.69,3.66,10.44818727
1/15/2021,34.97,-1.23,-3.397790055,35.03,-1.07,-2.96398892
1/8/2021,36.2,-1.79,-4.711766254,36.1,-1.89,-4.974993419
1/1/2021,37.99,0.54,1.441922563,37.99,0.54,1.441922563
12/25/2020,37.45,0.35,0.943396226,37.45,0.49,1.325757576
12/18/2020,37.1,3.94,11.88178528,36.96,3.8,11.45958987
12/11/2020,33.16,3.59,12.14068312,33.16,3.67,12.44489658
12/4/2020,29.57,1.22,4.30335097,29.49,1.14,4.021164021
11/27/2020,28.35,-0.73,-2.510316369,28.35,-0.72,-2.476780186
11/20/2020,29.08,-0.27,-0.919931857,29.07,-0.19,-0.649350649
11/13/2020,29.35,2.34,8.663457979,29.26,2.28,8.450704225
11/6/2020,27.01,0.48,1.809272522,26.98,0.51,1.926709482
10/30/2020,26.53,-2.97,-10.06779661,26.47,-2.98,-10.1188455
10/23/2020,29.5,0.19,0.648242921,29.45,0.15,0.511945392
10/16/2020,29.31,1.38,4.940923738,29.3,1.43,5.130965196
10/9/2020,27.93,-0.06,-0.214362272,27.87,-0.11,-0.393137956
10/2/2020,27.99,0.98,3.62828582,27.98,1.04,3.860430586
9/25/2020,27.01,-1.47,-5.161516854,26.94,-1.58,-5.53997195
9/18/2020,28.48,-0.53,-1.826956222,28.52,-0.48,-1.655172414
9/11/2020,29.01,-0.08,-0.275008594,29,-0.09,-0.309384668
9/4/2020,29.09,-0.37,-1.255940258,29.09,-0.36,-1.222410866
8/28/2020,29.46,-0.6,-1.996007984,29.45,-0.55,-1.833333333
8/21/2020,30.06,-0.24,-0.792079208,30,-0.27,-0.89197225
8/14/2020,30.3,1.79,6.278498772,30.27,1.77,6.210526316
8/7/2020,28.51,-1.64,-5.43946932,28.5,-1.64,-5.441274054
7/31/2020,30.15,1.81,6.386732534,30.14,1.91,6.765851931
7/24/2020,28.34,-1.08,-3.670972128,28.23,-1.22,-4.142614601
7/17/2020,29.42,-1.46,-4.727979275,29.45,-1.42,-4.599935212
7/10/2020,30.88,1.53,5.212947189,30.87,1.57,5.358361775
,,,,,,
