Security,SPOT US Equity,,,,,
Start Date,7/10/2020 0:00,,,,,
End Date,3/21/2025 0:00,,,,,
Period,W,,,,,
Currency,USD,,,,,
,,,,,,
Date,PX_LAST,Change,% Change,PX_BID,Change,% Change
9/13/2024,337.9,15.13,4.687548409,337.83,15.21,4.714524828
9/6/2024,322.77,-20.11,-5.865025665,322.62,-20.26,-5.908772748
8/30/2024,342.88,0.39,0.113871938,342.88,0.5,0.146036568
8/23/2024,342.49,5.11,1.514612603,342.38,5.19,1.539191554
8/16/2024,337.38,-2.52,-0.741394528,337.19,-2.72,-0.800211821
8/9/2024,339.9,9.05,2.73537857,339.91,8.9,2.688740521
8/2/2024,330.85,8.97,2.786752827,331.01,9.11,2.830071451
7/26/2024,321.88,26.79,9.078586194,321.9,26.86,9.103850325
7/19/2024,295.09,-7.18,-2.375359778,295.04,-7.06,-2.336974512
7/12/2024,302.27,-14.58,-4.601546473,302.1,-14.72,-4.646171328
7/5/2024,316.85,3.06,0.97517448,316.82,2.44,0.776130797
6/28/2024,313.79,-3.95,-1.243154781,314.38,-3.33,-1.048125649
6/21/2024,317.74,4.72,1.50789087,317.71,4.64,1.482096656
6/14/2024,313.02,4.81,1.56062425,313.07,4.97,1.613112626
6/7/2024,308.21,11.43,3.851337691,308.1,11.11,3.740866696
5/31/2024,296.78,-11.38,-3.692886812,296.99,-11.05,-3.587196468
5/24/2024,308.16,5.34,1.763423816,308.04,5.33,1.760761125
5/17/2024,302.82,8.22,2.790224033,302.71,7.93,2.690141801
5/10/2024,294.6,-1.47,-0.496504205,294.78,-1.29,-0.435707772
5/3/2024,296.07,6.48,2.237646328,296.07,6.59,2.276495786
4/26/2024,289.59,13.76,4.988579922,289.48,13.56,4.914467962
4/19/2024,275.83,-24.62,-8.194375104,275.92,-24.6,-8.18581126
4/12/2024,300.45,-9.86,-3.177467694,300.52,-9.79,-3.154909607
4/5/2024,310.31,46.41,17.5862069,310.31,46.26,17.5194092
3/29/2024,263.9,-1.05,-0.396301189,264.05,-0.94,-0.354730367
3/22/2024,264.95,10.06,3.946800581,264.99,10.22,4.011461318
3/15/2024,254.89,-4.51,-1.738627602,254.77,-4.63,-1.784888204
3/8/2024,259.4,-4.35,-1.6492891,259.4,-4.33,-1.64183066
3/1/2024,263.75,7.65,2.987114408,263.73,7.66,2.991369547
2/23/2024,256.1,9.85,4,256.07,9.84,3.996263656
2/16/2024,246.25,5.48,2.276031067,246.23,5.59,2.322972074
2/9/2024,240.77,18.3,8.225828202,240.64,18.11,8.138228553
2/2/2024,222.47,8.18,3.817256988,222.53,8.16,3.806502776
1/26/2024,214.29,9.58,4.679790924,214.37,9.66,4.718870597
1/19/2024,204.71,1.68,0.827463922,204.71,1.65,0.812567714
1/12/2024,203.03,9.51,4.914220752,203.06,9.59,4.956840854
1/5/2024,193.52,5.61,2.985471768,193.47,5.56,2.958863286
12/29/2023,187.91,-1.68,-0.886122686,187.91,-1.78,-0.938373135
12/22/2023,189.59,-2.58,-1.342561274,189.69,-2.45,-1.275111898
12/15/2023,192.17,-5.88,-2.968947236,192.14,-5.85,-2.954694682
12/8/2023,198.05,17.36,9.607615253,197.99,17.21,9.519858391
12/1/2023,180.69,-1.01,-0.55586131,180.78,-0.9,-0.495376486
11/24/2023,181.7,5.65,3.209315535,181.68,5.69,3.233138246
11/17/2023,176.05,5.07,2.965259095,175.99,5.03,2.942208704
11/10/2023,170.98,1,0.588304506,170.96,0.98,0.576538416
11/3/2023,169.98,10.63,6.670850329,169.98,10.63,6.670850329
10/27/2023,159.35,9.43,6.290021345,159.35,9.44,6.2971116
10/20/2023,149.92,-3.64,-2.370408961,149.91,-3.65,-2.376921073
10/13/2023,153.56,-6.97,-4.341867564,153.56,-6.96,-4.335908298
10/6/2023,160.53,5.89,3.808846353,160.52,5.84,3.775536592
9/29/2023,154.64,-1.71,-1.093700032,154.68,-1.74,-1.11238972
9/22/2023,156.35,-2.23,-1.406230294,156.42,-2.16,-1.362088536
9/15/2023,158.58,3.11,2.000385927,158.58,3.13,2.013509167
9/8/2023,155.47,-2.09,-1.326478802,155.45,-2.11,-1.339172379
9/1/2023,157.56,20.34,14.82291211,157.56,20.29,14.78108837
8/25/2023,137.22,5.35,4.057025859,137.27,5.34,4.047601001
8/18/2023,131.87,-6.81,-4.910585521,131.93,-6.84,-4.92901924
8/11/2023,138.68,-5.44,-3.774632251,138.77,-5.36,-3.718864914
8/4/2023,144.12,-4.48,-3.014804845,144.13,-4.51,-3.034176534
7/28/2023,148.6,-23.11,-13.45873857,148.64,-23.13,-13.46568085
7/21/2023,171.71,-0.32,-0.186014067,171.77,-0.26,-0.15113643
7/14/2023,172.03,15.06,9.594189973,172.03,15.07,9.601172273
7/7/2023,156.97,-3.58,-2.229834942,156.96,-3.58,-2.229973838
6/30/2023,160.55,3.06,1.942980507,160.54,3.05,1.936630897
6/23/2023,157.49,-2.5,-1.562597662,157.49,-2.51,-1.56875
6/16/2023,159.99,9.51,6.319776715,160,9.55,6.347623795
6/9/2023,150.48,-1.26,-0.830367734,150.45,-1.29,-0.850138395
6/2/2023,151.74,1.43,0.951367175,151.74,1.44,0.958083832
5/26/2023,150.31,0.88,0.588904504,150.3,0.87,0.582212407
5/19/2023,149.43,6.9,4.841086087,149.43,6.91,4.848442324
5/12/2023,142.53,0.78,0.55026455,142.52,0.7,0.493583416
5/5/2023,141.75,8.15,6.100299401,141.82,8.22,6.152694611
4/28/2023,133.6,-0.16,-0.119617225,133.6,-0.14,-0.104680724
4/21/2023,133.76,-0.98,-0.727326703,133.74,-0.99,-0.734802939
4/14/2023,134.74,2.26,1.705917874,134.73,2.26,1.706046652
4/7/2023,132.48,-1.14,-0.853165694,132.47,-1.14,-0.853229549
3/31/2023,133.62,5.32,4.146531567,133.61,5.3,4.130621152
3/24/2023,128.3,1.21,0.952081202,128.31,1.26,0.991735537
3/17/2023,127.09,5.43,4.463258261,127.05,5.42,4.456137466
3/10/2023,121.66,-2.08,-1.680943915,121.63,-2.06,-1.665453957
3/3/2023,123.74,6.6,5.634283763,123.69,6.55,5.591599795
2/24/2023,117.14,-8.19,-6.534748265,117.14,-8.17,-6.51983082
2/17/2023,125.33,0.17,0.135826143,125.31,0.17,0.13584785
2/10/2023,125.16,3.99,3.292894281,125.14,3.97,3.276388545
2/3/2023,121.17,18.93,18.51525822,121.17,18.94,18.52685122
1/27/2023,102.24,4.33,4.422428761,102.23,4.27,4.358922009
1/20/2023,97.91,5.85,6.35455138,97.96,5.94,6.455118453
1/13/2023,92.06,8.52,10.19870721,92.02,8.51,10.19039636
1/6/2023,83.54,4.59,5.813806206,83.51,4.58,5.802609908
12/30/2022,78.95,1.25,1.608751609,78.93,1.24,1.596087012
12/23/2022,77.7,2.96,3.96039604,77.69,2.87,3.835872761
12/16/2022,74.74,-3.43,-4.387872585,74.82,-3.4,-4.346714395
12/9/2022,78.17,-2.14,-2.664674387,78.22,-2.08,-2.590286426
12/2/2022,80.31,1.58,2.006858885,80.3,1.56,1.981203962
11/25/2022,78.73,1.74,2.260033771,78.74,1.78,2.312889813
11/18/2022,76.99,-6.72,-8.027714729,76.96,-6.7,-8.008606263
11/11/2022,83.71,12.66,17.81843772,83.66,12.62,17.76463964
11/4/2022,71.05,-12.31,-14.76727447,71.04,-12.29,-14.74858994
10/28/2022,83.36,-5.34,-6.020293123,83.33,-5.4,-6.085878508
10/21/2022,88.7,6.91,8.448465583,88.73,6.97,8.524951076
10/14/2022,81.79,-6.22,-7.067378707,81.76,-6.25,-7.101465743
10/7/2022,88.01,1.71,1.981460023,88.01,1.77,2.052411874
9/30/2022,86.3,-3.04,-3.402731139,86.24,-3.15,-3.523884103
9/23/2022,89.34,-11,-10.96272673,89.39,-10.95,-10.91289615
9/16/2022,100.34,-9.94,-9.013420384,100.34,-9.9,-8.980406386
9/9/2022,110.28,5.86,5.611951733,110.24,5.85,5.603985056
9/2/2022,104.42,-4.89,-4.473515689,104.39,-4.88,-4.466001647
8/26/2022,109.31,-2.12,-1.902539711,109.27,-2.12,-1.90322291
8/19/2022,111.43,-12.2,-9.868154979,111.39,-12.24,-9.900509585
8/12/2022,123.63,4.9,4.127010865,123.63,4.89,4.118241536
8/5/2022,118.73,5.71,5.05220315,118.74,5.71,5.051756171
7/29/2022,113.02,1.37,1.227048813,113.03,1.43,1.281362007
