Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Jun 20, 2024",10908.12,10908.12,10698.83,10733.55,10733.55,-
"Jun 18, 2024",10857.0,10914.79,10851.44,10883.35,10883.35,-
"Jun 17, 2024",10726.6,10872.59,10668.96,10850.75,10850.75,-
"Jun 14, 2024",10673.11,10720.21,10645.75,10713.43,10713.43,-
"Jun 13, 2024",10727.26,10765.67,10634.07,10686.7,10686.7,-
"Jun 12, 2024",10634.0,10743.24,10626.78,10724.43,10724.43,-
"Jun 11, 2024",10422.45,10513.7,10375.65,10511.93,10511.93,-
"Jun 10, 2024",10284.1,10474.52,10280.42,10455.0,10455.0,-
"Jun 7, 2024",10332.19,10390.46,10301.02,10336.93,10336.93,-
"Jun 6, 2024",10364.7,10388.56,10320.83,10342.54,10342.54,-
"Jun 5, 2024",10213.1,10373.19,10192.14,10372.08,10372.08,-
"Jun 4, 2024",10113.04,10113.04,10023.82,10076.18,10076.18,-
"Jun 3, 2024",10226.28,10236.7,9986.29,10119.99,10119.99,-
"May 31, 2024",10188.31,10200.25,9887.27,10121.72,10121.72,-
"May 30, 2024",10332.57,10348.39,10174.34,10205.24,10205.24,-
"May 29, 2024",10386.55,10451.02,10386.55,10396.4,10396.4,-
"May 28, 2024",10592.65,10594.29,10462.57,10526.85,10526.85,-
"May 24, 2024",10494.5,10616.85,10480.6,10549.22,10549.22,-
"May 23, 2024",10698.18,10704.39,10444.49,10495.82,10495.82,-
"May 22, 2024",10566.26,10595.3,10489.32,10568.8,10568.8,-
"May 21, 2024",10454.12,10515.1,10437.74,10507.1,10507.1,-
"May 20, 2024",10432.06,10568.81,10424.56,10554.51,10554.51,-
"May 17, 2024",10461.64,10471.49,10364.85,10419.3,10419.3,-
"May 16, 2024",10449.96,10501.02,10433.35,10436.75,10436.75,-
"May 15, 2024",10305.7,10456.72,10280.26,10454.29,10454.29,-
"May 14, 2024",10128.3,10221.07,10124.29,10213.48,10213.48,-
"May 13, 2024",10144.43,10161.5,10116.12,10140.59,10140.59,-
"May 10, 2024",10098.77,10171.79,10061.48,10090.34,10090.34,-
"May 9, 2024",10069.95,10083.03,10005.31,10038.43,10038.43,-
"May 8, 2024",10009.26,10069.12,9997.68,10061.81,10061.81,-
"May 7, 2024",10084.59,10150.39,10072.95,10076.02,10076.02,-
"May 6, 2024",10029.74,10112.98,10002.87,10112.97,10112.97,-
"May 3, 2024",9976.71,10033.73,9927.31,9982.2,9982.2,-
"May 2, 2024",9814.44,9866.89,9649.8,9840.5,9840.5,-
"May 1, 2024",9779.79,9948.78,9663.95,9692.12,9692.12,-
"Apr 30, 2024",10006.06,10056.67,9843.4,9845.68,9845.68,-
"Apr 29, 2024",10061.98,10091.76,9984.82,10039.64,10039.64,-
"Apr 26, 2024",9937.87,10090.74,9911.51,10055.63,10055.63,-
"Apr 25, 2024",9775.95,9930.66,9742.33,9893.93,9893.93,-
"Apr 24, 2024",9978.22,10001.53,9829.17,9895.33,9895.33,-
"Apr 23, 2024",9693.75,9871.1,9675.59,9828.82,9828.82,-
"Apr 22, 2024",9594.19,9681.2,9474.05,9631.73,9631.73,-
"Apr 19, 2024",9669.97,9716.74,9458.7,9500.55,9500.55,-
"Apr 18, 2024",9796.75,9848.76,9702.06,9716.7,9716.7,-
"Apr 17, 2024",10017.08,10031.66,9813.73,9816.78,9816.78,-
"Apr 16, 2024",9971.47,10066.93,9945.21,10010.93,10010.93,-
"Apr 15, 2024",10254.21,10268.85,9941.6,9976.72,9976.72,-
"Apr 12, 2024",10256.62,10284.49,10142.38,10162.06,10162.06,-
"Apr 11, 2024",10309.7,10435.47,10228.59,10419.72,10419.72,-
"Apr 10, 2024",10241.3,10307.9,10193.32,10243.23,10243.23,-
"Apr 9, 2024",10391.06,10416.74,10278.89,10400.32,10400.32,-
"Apr 8, 2024",10330.4,10356.05,10249.68,10309.02,10309.02,-
"Apr 5, 2024",10213.8,10360.46,10182.48,10306.57,10306.57,-
"Apr 4, 2024",10500.74,10520.82,10170.71,10172.51,10172.51,-
"Apr 3, 2024",10281.75,10434.53,10277.02,10372.26,10372.26,-
"Apr 2, 2024",10300.06,10361.97,10253.35,10348.49,10348.49,-
"Apr 1, 2024",10449.15,10549.38,10422.84,10463.7,10463.7,-
"Mar 28, 2024",10421.24,10470.01,10402.61,10420.33,10420.33,-
"Mar 27, 2024",10465.02,10465.77,10324.46,10427.4,10427.4,-
"Mar 26, 2024",10426.54,10467.23,10372.07,10373.65,10373.65,-
"Mar 25, 2024",10338.67,10441.83,10320.15,10388.22,10388.22,-
"Mar 22, 2024",10443.19,10491.34,10377.05,10444.17,10444.17,-
"Mar 21, 2024",10563.24,10595.64,10465.0,10472.44,10472.44,-
"Mar 20, 2024",10271.41,10390.14,10199.54,10372.62,10372.62,-
"Mar 19, 2024",10127.84,10240.68,10067.28,10224.57,10224.57,-
"Mar 18, 2024",10277.08,10301.5,10212.74,10221.21,10221.21,-
"Mar 15, 2024",10229.64,10242.54,10141.28,10146.99,10146.99,-
"Mar 14, 2024",10401.43,10418.42,10226.46,10298.42,10298.42,-
"Mar 13, 2024",10466.63,10475.09,10361.19,10391.86,10391.86,-
"Mar 12, 2024",10449.84,10532.88,10337.09,10530.35,10530.35,-
"Mar 11, 2024",10335.14,10387.1,10254.67,10359.64,10359.64,-
"Mar 8, 2024",10672.33,10724.92,10408.53,10415.33,10415.33,-
"Mar 7, 2024",10568.57,10719.27,10530.22,10686.65,10686.65,-
"Mar 6, 2024",10542.01,10566.63,10407.91,10475.54,10475.54,-
"Mar 5, 2024",10480.4,10489.52,10255.24,10332.76,10332.76,-
"Mar 4, 2024",10638.12,10670.77,10579.77,10606.42,10606.42,-
"Mar 1, 2024",10452.33,10636.81,10422.44,10606.23,10606.23,-
"Feb 29, 2024",10352.31,10427.28,10276.48,10411.78,10411.78,-
"Feb 28, 2024",10260.1,10295.95,10228.16,10257.58,10257.58,-
"Feb 27, 2024",10370.9,10422.42,10315.01,10347.51,10347.51,-
"Feb 26, 2024",10313.87,10389.43,10282.67,10329.92,10329.92,-
"Feb 23, 2024",10359.09,10384.92,10232.56,10265.71,10265.71,-
"Feb 22, 2024",10292.08,10335.3,10217.74,10306.18,10306.18,-
"Feb 21, 2024",9850.41,9940.77,9826.79,9939.39,9939.39,-
"Feb 20, 2024",10150.83,10191.37,9987.28,10122.3,10122.3,-
"Feb 16, 2024",10345.86,10373.46,10201.89,10225.03,10225.03,-
"Feb 15, 2024",10387.86,10399.65,10287.5,10342.72,10342.72,-
"Feb 14, 2024",10283.9,10351.12,10233.82,10347.87,10347.87,-
"Feb 13, 2024",10027.36,10259.56,10027.36,10154.5,10154.5,-
"Feb 12, 2024",10421.61,10506.3,10354.05,10371.71,10371.71,-
"Feb 9, 2024",10332.93,10467.31,10304.28,10435.12,10435.12,-
"Feb 8, 2024",10166.78,10296.26,10155.06,10256.3,10256.3,-
"Feb 7, 2024",10062.26,10167.0,10016.59,10145.02,10145.02,-
"Feb 6, 2024",10067.23,10068.78,9866.79,9966.25,9966.25,-
"Feb 5, 2024",10038.92,10055.42,9910.22,10017.66,10017.66,-
"Feb 2, 2024",9876.65,10044.39,9860.11,10021.72,10021.72,-
"Feb 1, 2024",9845.23,9910.08,9782.09,9888.86,9888.86,-
"Jan 31, 2024",9801.81,9950.59,9758.07,9797.68,9797.68,599900
"Jan 30, 2024",10034.65,10065.83,9943.26,9974.82,9974.82,468500
"Jan 29, 2024",9964.57,10077.91,9949.52,10077.29,10077.29,438500
"Jan 26, 2024",9969.63,10038.9,9935.59,9947.71,9947.71,513900
"Jan 25, 2024",10232.5,10236.41,10044.75,10092.35,10092.35,527400
"Jan 24, 2024",10148.65,10224.12,10086.8,10103.12,10103.12,523700
"Jan 23, 2024",10012.48,10040.71,9936.33,10035.03,10035.03,369400
"Jan 22, 2024",10029.82,10076.12,9957.45,9994.6,9994.6,496800
"Jan 19, 2024",9728.87,9923.78,9714.27,9921.77,9921.77,588200
"Jan 18, 2024",9648.5,9668.96,9548.19,9658.97,9658.97,530500
"Jan 17, 2024",9477.74,9493.36,9335.32,9485.01,9485.01,424100
"Jan 16, 2024",9491.42,9607.21,9467.73,9562.14,9562.14,470800
"Jan 12, 2024",9558.39,9601.14,9498.6,9534.17,9534.17,317800
"Jan 11, 2024",9530.49,9575.06,9389.31,9539.06,9539.06,400000
"Jan 10, 2024",9449.65,9512.89,9373.68,9488.72,9488.72,381400
"Jan 9, 2024",9299.15,9472.6,9298.88,9431.27,9431.27,408400
"Jan 8, 2024",9181.69,9384.85,9180.85,9382.04,9382.04,435100
"Jan 5, 2024",9096.98,9197.62,9090.36,9122.27,9122.27,384600
"Jan 4, 2024",9066.85,9168.78,9066.85,9098.91,9098.91,407200
"Jan 3, 2024",9141.42,9219.83,9137.93,9152.49,9152.49,372600
"Jan 2, 2024",9446.37,9462.16,9231.63,9286.98,9286.98,443100
"Dec 29, 2023",9637.25,9662.17,9544.32,9587.92,9587.92,304200
"Dec 28, 2023",9680.64,9681.94,9645.99,9650.4,9650.4,263400
"Dec 27, 2023",9683.45,9697.09,9629.11,9660.16,9660.16,302800
"Dec 26, 2023",9599.43,9678.71,9595.78,9661.82,9661.82,275100
"Dec 22, 2023",9586.33,9590.66,9502.63,9566.56,9566.56,294700
"Dec 21, 2023",9483.74,9533.67,9438.08,9523.19,9523.19,369100
"Dec 20, 2023",9464.98,9536.01,9343.26,9344.42,9344.42,433000
"Dec 19, 2023",9481.46,9528.81,9481.46,9514.86,9514.86,375500
"Dec 18, 2023",9479.11,9497.69,9419.26,9475.25,9475.25,381700
"Dec 15, 2023",9461.77,9544.62,9439.63,9483.86,9483.86,760500
"Dec 14, 2023",9372.8,9463.04,9317.42,9404.68,9404.68,561200
"Dec 13, 2023",9205.51,9336.31,9161.58,9311.25,9311.25,435300
